Label,city,country,Id,ICAO,latitude,longitude
Le Havre Octeville Logic.Airport,Le Havre,France,LEH,LFOH,49.53390121459961,0.08805599808692932
Orléans-Bricy (BA 123) Air Base,Orleans,France,ORE,LFOJ,47.9878005981,1.7605600357100002
Châlons-Vatry Air Base,Chalons,France,XCR,LFOK,48.776100158691406,4.184490203857422
Rouen Logic.Airport,Rouen,France,URO,LFOP,49.38420104980469,1.1748000383377075
Tours-Val-de-Loire Logic.Airport,Tours,France,TUF,LFOT,47.4322013855,0.727605998516
Cholet Le Pontreau Logic.Airport,Cholet,France,CET,LFOU,47.08209991455078,-0.8770639896392822
Laval-Entrammes Logic.Airport,Laval,France,LVA,LFOV,48.03139877319336,-0.7429860234260559
Paris-Le Bourget Logic.Airport,Paris,France,LBG,LFPB,48.969398498535156,2.441390037536621
Creil Air Base,Creil,France,CSF,LFPC,49.253501892089844,2.5191400051116943
Charles de Gaulle International Logic.Airport,Paris,France,CDG,LFPG,49.0127983093,2.54999995232
Toussus-le-Noble Logic.Airport,Toussous-le-noble,France,TNF,LFPN,48.75189971923828,2.1061899662017822
Paris-Orly Logic.Airport,Paris,France,ORY,LFPO,48.7233333,2.3794444
Pontoise - Cormeilles-en-Vexin Logic.Airport,Pontoise,France,POX,LFPT,49.0966667,2.0408333
Troyes-Barberey Logic.Airport,Troyes,France,QYR,LFQB,48.32210159301758,4.01669979095459
Nevers-Fourchambault Logic.Airport,Nevers,France,NVS,LFQG,47.002601623535156,3.1133298873901367
Lille-Lesquin Logic.Airport,Lille,France,LIL,LFQQ,50.563332,3.0868860000000002
Brest Bretagne Logic.Airport,Brest,France,BES,LFRB,48.4478988647461,-4.418540000915527
Cherbourg-Maupertus Logic.Airport,Cherbourg,France,CER,LFRC,49.65010070800781,-1.4702800512313845
Dinard-Pleurtuit-Saint-Malo Logic.Airport,Dinard,France,DNR,LFRD,48.58769989013672,-2.0799601078033447
Granville Logic.Airport,Granville,France,GFR,LFRF,48.88309860229492,-1.564170002937317
Deauville-Saint-Gatien Logic.Airport,Deauville,France,DOL,LFRG,49.3652992249,0.154305994511
Lorient South Brittany (Bretagne Sud) Logic.Airport,Lorient,France,LRT,LFRH,47.76060104370117,-3.440000057220459
La Roche-sur-Yon Logic.Airport,La Roche-sur-yon,France,EDM,LFRI,46.70190048217773,-1.3786300420761108
Caen-Carpiquet Logic.Airport,Caen,France,CFR,LFRK,49.173301696777344,-0.44999998807907104
Le Mans-Arnage Logic.Airport,Le Mans,France,LME,LFRM,47.94860076904297,0.201666995882988
Rennes-Saint-Jacques Logic.Airport,Rennes,France,RNS,LFRN,48.0694999695,-1.73478996754
Lannion-Côte de Granit Logic.Airport,Lannion,France,LAI,LFRO,48.75439834594727,-3.4716598987579346
Quimper-Cornouaille Logic.Airport,Quimper,France,UIP,LFRQ,47.974998474121094,-4.167789936065674
Nantes Atlantique Logic.Airport,Nantes,France,NTE,LFRS,47.15319824220001,-1.61073005199
Saint-Brieuc-Armor Logic.Airport,St.-brieuc Armor,France,SBK,LFRT,48.5378,-2.8544400000000003
Morlaix-Ploujean Logic.Airport,Morlaix,France,MXN,LFRU,48.6031990051,-3.81577992439
Vannes-Meucon Logic.Airport,Vannes,France,VNE,LFRV,47.72330093383789,-2.718559980392456
Saint-Nazaire-Montoir Logic.Airport,St.-nazaire,France,SNR,LFRZ,47.3105556,-2.1566667
EuroAirport Basel-Mulhouse-Freiburg Logic.Airport,Mulhouse,France,BSL,LFSB,47.59,7.5291667
Dijon-Bourgogne Logic.Airport,Dijon,France,DIJ,LFSD,47.268901825,5.09000015259
Metz-Frescaty (BA 128) Air Base,Metz,France,MZM,LFSF,49.07170104980469,6.131669998168945
Épinal-Mirecourt Logic.Airport,Epinal,France,EPL,LFSG,48.32500076293945,6.069980144500732
Nancy-Essey Logic.Airport,Nancy,France,ENC,LFSN,48.692100524902344,6.230460166931152
Reims-Champagne (BA 112) Air Base,Reims,France,RHE,LFSR,49.310001,4.05
Strasbourg Logic.Airport,Strasbourg,France,SXB,LFST,48.53829956054688,7.628230094909668
Toulon-Hyères Logic.Airport,Hyeres,France,TLN,LFTH,43.0973014832,6.14602994919
Nîmes-Arles-Camargue Logic.Airport,Nimes,France,FNI,LFTW,43.75740051269531,4.4163498878479
Andravida Air Base,Andravida,Greece,PYR,LGAD,37.9207,21.292601
Agrinion Air Base,Agrinion,Greece,AGQ,LGAG,38.602001,21.351200100000003
Dimokritos Logic.Airport,Alexandroupolis,Greece,AXD,LGAL,40.855899810791016,25.956300735473636
Nea Anchialos Logic.Airport,Nea Anghialos,Greece,VOL,LGBL,39.21960067749024,22.794300079345703
Chios Island National Logic.Airport,Chios,Greece,JKH,LGHI,38.34320068359375,26.14060020446777
Ioannina Logic.Airport,Ioannina,Greece,IOA,LGIO,39.6963996887207,20.82250022888184
Heraklion International Nikos Kazantzakis Logic.Airport,Heraklion,Greece,HER,LGIR,35.3396987915,25.1802997589
Kastoria National Logic.Airport,Kastoria,Greece,KSO,LGKA,40.4463005066,21.282199859600002
Kithira Logic.Airport,Kithira,Greece,KIT,LGKC,36.2742996216,23.0170001984
Kefallinia Logic.Airport,Keffallinia,Greece,EFL,LGKF,38.12009811401367,20.5004997253418
Kalamata Logic.Airport,Kalamata,Greece,KLX,LGKL,37.06829833984375,22.02549934387207
Kos Logic.Airport,Kos,Greece,KGS,LGKO,36.79330062866211,27.09169960021973
Karpathos Logic.Airport,Karpathos,Greece,AOK,LGKP,35.4213981628418,27.145999908447266
Ioannis Kapodistrias International Logic.Airport,Kerkyra/corfu,Greece,CFU,LGKR,39.601898193359375,19.911699295043945
Kasos Logic.Airport,Kasos,Greece,KSJ,LGKS,35.4213981628,26.909999847399998
Alexander the Great International Logic.Airport,Kavala,Greece,KVA,LGKV,40.91329956054688,24.619199752807614
Filippos Logic.Airport,Kozani,Greece,KZI,LGKZ,40.28609848022461,21.84079933166504
Leros Logic.Airport,Leros,Greece,LRS,LGLE,37.1848983765,26.800300598099998
Limnos Logic.Airport,Limnos,Greece,LXS,LGLM,39.917098999000004,25.236299514799995
Larisa Logic.Airport,Larissa,Greece,LRA,LGLR,39.650253,22.4655
Mikonos Logic.Airport,Mykonos,Greece,JMK,LGMK,37.43510055541992,25.348100662231445
Mytilene International Logic.Airport,Mytilini,Greece,MJT,LGMT,39.0567016602,26.5983009338
Aktion National Logic.Airport,Preveza,Greece,PVK,LGPZ,38.92549896240234,20.765300750732425
Diagoras Logic.Airport,Rhodos,Greece,RHO,LGRP,36.40539932250977,28.086200714111328
Araxos Logic.Airport,Patras,Greece,GPA,LGRX,38.1511,21.4256
Chania International Logic.Airport,Chania,Greece,CHQ,LGSA,35.531700134277344,24.149700164794922
Skiathos Island National Logic.Airport,Skiathos,Greece,JSI,LGSK,39.177101135253906,23.503700256347656
Samos Logic.Airport,Samos,Greece,SMI,LGSM,37.68999862670898,26.911699295043945
Santorini Logic.Airport,Thira,Greece,JTR,LGSR,36.39920043945313,25.47929954528809
Sitia Logic.Airport,Sitia,Greece,JSH,LGST,35.21609878540039,26.101299285888672
Skiros Logic.Airport,Skiros,Greece,SKU,LGSY,38.967601776100004,24.4871997833
Thessaloniki Macedonia International Logic.Airport,Thessaloniki,Greece,SKG,LGTS,40.51969909667969,22.97089958190918
Dionysios Solomos Logic.Airport,Zakynthos,Greece,ZTH,LGZA,37.75090026855469,20.884300231933594
Budapest Ferenc Liszt International Logic.Airport,Budapest,Hungary,BUD,LHBP,47.4369010925,19.2555999756
Debrecen International Logic.Airport,Debrecen,Hungary,DEB,LHDC,47.48889923095703,21.61529922485352
Crotone Logic.Airport,Crotone,Italy,CRV,LIBC,38.9972,17.0802
Bari Karol Wojtyła Logic.Airport,Bari,Italy,BRI,LIBD,41.138901000000004,16.760599
Foggia Logic.Airport,Foggia,Italy,FOG,LIBF,41.432899,15.535
Taranto-Grottaglie Logic.Airport,Grottaglie,Italy,TAR,LIBG,40.517502,17.4032
Lecce Galatina Air Base,Lecce,Italy,LCC,LIBN,40.239201,18.133301
Pescara International Logic.Airport,Pescara,Italy,PSR,LIBP,42.431702,14.1811
Brindisi – Salento Logic.Airport,Brindisi,Italy,BDS,LIBR,40.6576,17.947001
Lamezia Terme Logic.Airport,Lamezia,Italy,SUF,LICA,38.905398999999996,16.2423
Catania-Fontanarossa Logic.Airport,Catania,Italy,CTA,LICC,37.466801000000004,15.0664
Lampedusa Logic.Airport,Lampedusa,Italy,LMP,LICD,35.497898,12.6181
Pantelleria Logic.Airport,Pantelleria,Italy,PNL,LICG,36.816502,11.9689
Falcone–Borsellino Logic.Airport,Palermo,Italy,PMO,LICJ,38.175999,13.091
Reggio Calabria Logic.Airport,Reggio Calabria,Italy,REG,LICR,38.071201,15.6516
Vincenzo Florio Logic.Airport Trapani-Birgi,Trapani,Italy,TPS,LICT,37.9114,12.488
Sigonella Navy Air Base,Sigonella,Italy,NSY,LICZ,37.401699,14.9224
Alghero-Fertilia Logic.Airport,Alghero,Italy,AHO,LIEA,40.632099,8.29077
Decimomannu Air Base,Decimomannu,Italy,DCI,LIED,39.354198,8.972480000000001
Cagliari Elmas Logic.Airport,Cagliari,Italy,CAG,LIEE,39.251499,9.05428
Olbia Costa Smeralda Logic.Airport,Olbia,Italy,OLB,LIEO,40.898701,9.51763
Tortolì Logic.Airport,Tortoli,Italy,TTB,LIET,39.9188,9.68298
Malpensa International Logic.Airport,Milano,Italy,MXP,LIMC,45.6306,8.728110000000001
Il Caravaggio International Logic.Airport,Bergamo,Italy,BGY,LIME,45.673901,9.70417
Turin Logic.Airport,Torino,Italy,TRN,LIMF,45.200802,7.64963
Villanova D'Albenga International Logic.Airport,Albenga,Italy,ALL,LIMG,44.050598,8.12743
Genoa Cristoforo Colombo Logic.Airport,Genoa,Italy,GOA,LIMJ,44.4133,8.8375
Milano Linate Logic.Airport,Milan,Italy,LIN,LIML,45.445099,9.27674
Parma Logic.Airport,Parma,Italy,PMF,LIMP,44.824501,10.2964
Piacenza San Damiano Air Base,Piacenza,Italy,QPZ,LIMS,44.913101,9.723322999999999
Cuneo International Logic.Airport,Cuneo,Italy,CUF,LIMZ,44.547001,7.62322
Aviano Air Base,Aviano,Italy,AVB,LIPA,46.031898,12.596503
Bolzano Logic.Airport,Bolzano,Italy,BZO,LIPB,46.460201,11.3264
Bologna Guglielmo Marconi Logic.Airport,Bologna,Italy,BLQ,LIPE,44.5354,11.2887
Treviso-Sant'Angelo Logic.Airport,Treviso,Italy,TSF,LIPH,45.648399,12.1944
Forlì Logic.Airport,Forli,Italy,FRL,LIPK,44.194801,12.0701
Brescia Logic.Airport,Brescia,Italy,VBS,LIPO,45.428902,10.3306
Trieste–Friuli Venezia Giulia Logic.Airport,Ronchi De Legionari,Italy,TRS,LIPQ,45.827498999999996,13.4722
Federico Fellini International Logic.Airport,Rimini,Italy,RMI,LIPR,44.020302,12.6117
Vicenza Logic.Airport,Vicenza,Italy,VIC,LIPT,45.573399,11.5295
Padova Logic.Airport,Padova,Italy,QPA,LIPU,45.395802,11.8479
Verona Villafranca Logic.Airport,Villafranca,Italy,VRN,LIPX,45.395699,10.8885
Venice Marco Polo Logic.Airport,Venice,Italy,VCE,LIPZ,45.505299,12.3519
Siena-Ampugnano Logic.Airport,Siena,Italy,SAY,LIQS,43.256302000000005,11.255
Ciampino–G. B. Pastine International Logic.Airport,Rome,Italy,CIA,LIRA,41.7994,12.5949
Leonardo da Vinci–Fiumicino Logic.Airport,Rome,Italy,FCO,LIRF,41.800277799999996,12.238888900000001
Marina Di Campo Logic.Airport,Marina Di Campo,Italy,EBA,LIRJ,42.7603,10.2394
Latina Air Base,Latina,Italy,QLT,LIRL,41.5424,12.909
Naples International Logic.Airport,Naples,Italy,NAP,LIRN,40.886002000000005,14.2908
Pisa International Logic.Airport,Pisa,Italy,PSA,LIRP,43.683899,10.3927
Peretola Logic.Airport,Florence,Italy,FLR,LIRQ,43.810001,11.2051
Grosseto Air Base,Grosseto,Italy,GRS,LIRS,42.759701,11.0719
Perugia San Francesco d'Assisi – Umbria International Logic.Airport,Perugia,Italy,PEG,LIRZ,43.095901,12.5132
Ljubljana Jože Pučnik Logic.Airport,Ljubljana,Slovenia,LJU,LJLJ,46.223701,14.4576
Maribor Logic.Airport,Maribor,Slovenia,MBX,LJMB,46.47990036010742,15.686100006103516
Portoroz Logic.Airport,Portoroz,Slovenia,POW,LJPZ,45.4734001159668,13.614999771118164
Karlovy Vary International Logic.Airport,Karlovy Vary,Czech Republic,KLV,LKKV,50.20299911499024,12.914999961853027
Ostrava Leos Janáček Logic.Airport,Ostrava,Czech Republic,OSR,LKMT,49.6963005065918,18.111099243164066
Pardubice Logic.Airport,Pardubice,Czech Republic,PED,LKPD,50.01340103149414,15.73859977722168
Přerov Air Base,Prerov,Czech Republic,PRV,LKPO,49.42580032348633,17.404699325561527
Václav Havel Logic.Airport Prague,Prague,Czech Republic,PRG,LKPR,50.1008,14.26
Brno-Tuřany Logic.Airport,Brno,Czech Republic,BRQ,LKTB,49.15129852294922,16.694400787353516
Malta International Logic.Airport,Malta,Malta,MLA,LMML,35.857498,14.4775
Graz Logic.Airport,Graz,Austria,GRZ,LOWG,46.9911003112793,15.439599990844727
Innsbruck Logic.Airport,Innsbruck,Austria,INN,LOWI,47.260201,11.344000000000001
Linz Hörsching Logic.Airport,Linz,Austria,LNZ,LOWL,48.2332,14.1875
Salzburg Logic.Airport,Salzburg,Austria,SZG,LOWS,47.793300628699996,13.0043001175
Vienna International Logic.Airport,Vienna,Austria,VIE,LOWW,48.110298156738004,16.569700241089002
Santa Maria Logic.Airport,Santa Maria (island),Portugal,SMA,LPAZ,36.97140121459961,-25.17060089111328
Bragança Logic.Airport,Braganca,Portugal,BGC,LPBG,41.85779953,-6.70712995529
Flores Logic.Airport,Flores,Portugal,FLW,LPFL,39.455299377441406,-31.13139915466309
Faro Logic.Airport,Faro,Portugal,FAO,LPFR,37.014400482199996,-7.965909957889999
Graciosa Logic.Airport,Graciosa Island,Portugal,GRW,LPGR,39.092201232910156,-28.029800415039066
Horta Logic.Airport,Horta,Portugal,HOR,LPHR,38.51990127563477,-28.715900421142575
Lajes Field,Lajes (terceira Island),Portugal,TER,LPLA,38.7617988586,-27.0907993317
João Paulo II Logic.Airport,Ponta Delgada,Portugal,PDL,LPPD,37.7411994934,-25.6979007721
Pico Logic.Airport,Pico,Portugal,PIX,LPPI,38.554298400878906,-28.44129943847656
Francisco de Sá Carneiro Logic.Airport,Porto,Portugal,OPO,LPPR,41.248100280799996,-8.68138980865
Porto Santo Logic.Airport,Porto Santo,Portugal,PXO,LPPS,33.073398590100005,-16.3500003815
Lisbon Portela Logic.Airport,Lisbon,Portugal,LIS,LPPT,38.7812995911,-9.13591957092
São Jorge Logic.Airport,Sao Jorge Island,Portugal,SJZ,LPSJ,38.66550064086914,-28.175800323486328
Vila Real Logic.Airport,Vila Real,Portugal,VRL,LPVR,41.27429962158203,-7.720469951629639
Mostar International Logic.Airport,Mostar,Bosnia and Herzegovina,OMO,LQMO,43.282901763916016,17.84589958190918
Sarajevo International Logic.Airport,Sarajevo,Bosnia and Herzegovina,SJJ,LQSA,43.82460021972656,18.331499099731445
Arad International Logic.Airport,Arad,Romania,ARW,LRAR,46.17660140991211,21.261999130249023
Bacău Logic.Airport,Bacau,Romania,BCM,LRBC,46.52190017700195,26.91029930114746
Tautii Magheraus Logic.Airport,Baia Mare,Romania,BAY,LRBM,47.65840148925781,23.46999931335449
Băneasa International Logic.Airport,Bucharest,Romania,BBU,LRBS,44.50320053100586,26.10210037231445
Mihail Kogălniceanu International Logic.Airport,Constanta,Romania,CND,LRCK,44.36220169067383,28.488300323486328
Cluj-Napoca International Logic.Airport,Cluj-napoca,Romania,CLJ,LRCL,46.78519821166992,23.686199188232425
Caransebeş Logic.Airport,Caransebes,Romania,CSB,LRCS,45.41999816894531,22.253299713134766
Craiova Logic.Airport,Craiova,Romania,CRA,LRCV,44.31809997558594,23.888599395751953
Iaşi Logic.Airport,Iasi,Romania,IAS,LRIA,47.17850112915039,27.6205997467041
Oradea International Logic.Airport,Oradea,Romania,OMR,LROD,47.02529907226562,21.90250015258789
Henri Coandă International Logic.Airport,Bucharest,Romania,OTP,LROP,44.5711111,26.085
